lat_force,long_force,norm_force
7.32421875,2.44140625,26.85546875
9.765625,2.44140625,26.85546875
9.765625,7.32421875,26.85546875
12.20703125,7.32421875,26.85546875
14.6484375,7.32421875,24.4140625
12.20703125,7.32421875,24.4140625
12.20703125,4.8828125,24.4140625
12.20703125,0,21.97265625
9.765625,0,21.97265625
9.765625,0,19.53125
9.765625,0,19.53125
12.20703125,0,21.97265625
12.20703125,0,21.97265625
12.20703125,0,21.97265625
12.20703125,0,21.97265625
12.20703125,-2.44140625,21.97265625
9.765625,-2.44140625,24.4140625
7.32421875,-2.44140625,24.4140625
7.32421875,-2.44140625,24.4140625
9.765625,0,24.4140625
9.765625,0,24.4140625
12.20703125,0,24.4140625
12.20703125,2.44140625,24.4140625
9.765625,2.44140625,21.97265625
12.20703125,2.44140625,21.97265625
9.765625,4.8828125,19.53125
9.765625,2.44140625,19.53125
9.765625,2.44140625,21.97265625
12.20703125,2.44140625,21.97265625
12.20703125,2.44140625,24.4140625
14.6484375,2.44140625,21.97265625
14.6484375,4.8828125,21.97265625
14.6484375,4.8828125,24.4140625
12.20703125,4.8828125,24.4140625
12.20703125,2.44140625,21.97265625
12.20703125,2.44140625,24.4140625
12.20703125,-2.44140625,24.4140625
12.20703125,-2.44140625,26.85546875
12.20703125,-4.8828125,26.85546875
12.20703125,-4.8828125,24.4140625
14.6484375,-4.8828125,24.4140625
14.6484375,-4.8828125,24.4140625
17.08984375,-4.8828125,21.97265625
12.20703125,-7.32421875,21.97265625
12.20703125,-9.765625,21.97265625
9.765625,-9.765625,24.4140625
9.765625,-9.765625,21.97265625
12.20703125,-4.8828125,21.97265625
12.20703125,-2.44140625,21.97265625
12.20703125,0,21.97265625
14.6484375,2.44140625,21.97265625
12.20703125,4.8828125,21.97265625
9.765625,4.8828125,24.4140625
9.765625,7.32421875,24.4140625
7.32421875,7.32421875,24.4140625
7.32421875,9.765625,26.85546875
9.765625,9.765625,26.85546875
12.20703125,12.20703125,29.296875
12.20703125,14.6484375,34.1796875
9.765625,21.97265625,46.38671875
4.8828125,29.296875,58.59375
2.44140625,31.73828125,68.359375
0,36.62109375,75.68359375
0,39.0625,80.56640625
