lat_force,long_force,norm_force
7.32421875,-4.8828125,17.08984375
9.765625,-7.32421875,19.53125
9.765625,-9.765625,19.53125
9.765625,-12.20703125,21.97265625
9.765625,-12.20703125,21.97265625
12.20703125,-12.20703125,21.97265625
12.20703125,-4.8828125,31.73828125
12.20703125,7.32421875,43.9453125
14.6484375,24.4140625,63.4765625
17.08984375,46.38671875,85.44921875
17.08984375,61.03515625,104.98046875
12.20703125,70.80078125,119.62890625
12.20703125,78.125,124.51171875
7.32421875,87.890625,131.8359375
7.32421875,100.09765625,148.92578125
7.32421875,117.1875,170.8984375
12.20703125,131.8359375,197.75390625
14.6484375,141.6015625,217.28515625
12.20703125,151.3671875,234.375
9.765625,166.015625,244.140625
7.32421875,183.10546875,246.58203125
9.765625,187.98828125,249.0234375
9.765625,183.10546875,253.90625
7.32421875,183.10546875,261.23046875
7.32421875,190.4296875,270.99609375
7.32421875,197.75390625,278.3203125
4.8828125,202.63671875,290.52734375
4.8828125,205.078125,310.05859375
-4.8828125,222.16796875,334.47265625
-14.6484375,251.46484375,358.88671875
-14.6484375,283.203125,383.30078125
-12.20703125,307.6171875,402.83203125
-12.20703125,312.5,412.59765625
-12.20703125,302.734375,412.59765625
-9.765625,295.41015625,405.2734375
-4.8828125,295.41015625,400.390625
-4.8828125,312.5,405.2734375
-12.20703125,341.796875,427.24609375
-29.296875,373.53515625,451.66015625
-46.38671875,405.2734375,473.6328125
-56.15234375,429.6875,483.3984375
-56.15234375,439.453125,485.83984375
-56.15234375,434.5703125,478.515625
-58.59375,427.24609375,476.07421875
-63.4765625,427.24609375,480.95703125
-68.359375,434.5703125,490.72265625
-73.2421875,451.66015625,505.37109375
-80.56640625,473.6328125,515.13671875
-80.56640625,485.83984375,524.90234375
-78.125,488.28125,527.34375
-70.80078125,485.83984375,529.78515625
-63.4765625,490.72265625,534.66796875
-58.59375,505.37109375,544.43359375
-56.15234375,522.4609375,561.5234375
-56.15234375,529.78515625,571.2890625
-56.15234375,524.90234375,566.40625
-53.7109375,517.578125,554.19921875
